"date","consumption_real","consumption_nominal","consumption_deflator","gross_disposable_income","final_consumption_hh","currency_deposits","equities","superannuation","household_debt","housing_wealth","housing_loan_flow","house_price_index","working_age_population","unemployment_rate","gross_disposable_income_billions","final_consumption_hh_billions","illiquid_financial_wealth","liquid_assets","net_liquid_assets","final_consumption_hh_sa","annualised_income","real_gdi","real_consumption_per_working_age","real_gdi_per_working_age","real_housing_wealth","real_illiquid_financial_wealth","real_household_debt","consumption_income_ratio","housing_wealth_income_ratio","illiquid_financial_income_ratio","liquid_assets_income_ratio","net_liquid_assets_income_ratio","debt_income_ratio","lcons","lgdi","lperm_income","permanent_income_per_working_age","disposable_permanent_income_ratio","log_disposable_permanent_income_ratio","lcons_perm_income_ratio","credit_conditions_index","long_run_fitted_ratio","ecm_residual","ecm_fitted","d_lcons_actual"
2009-06-01,244539,174836,71.496162166362,210782,174836,560,582.7,1281.5,1332.3,3602.8,46289.5,90.2,17474718,5.8615471,210.782,174.836,1864.2,560,-772.3,174836,843.128,294815.824532705,0.0139938738925572,0.0168709918256023,5039.15160035691,2607.41268274268,1863.45666624723,0.829463616437836,4.27313527720583,2.21105217713087,0.66419333719198,-0.915993775559583,1.58018711275156,-4.26913562423561,-4.08215959188202,-4.29329070720679,0.013659900523225,1.23507428161118,0.211131115324767,0.0241550829711805,NA,0.0285723432916631,-0.00441726032048256,-0.00587469544933826,0.0113574134780867
2009-09-01,245667,176634,71.8997667574399,206635,176634,574.7,616.9,1393.5,1360.8,3823.6,48156.8,94,17559802,5.6620719,206.635,176.634,2010.4,574.7,-786.1,176634,826.54,287393.14370393,0.0139903058132432,0.0163665366901022,5317.95883691702,2796.11477292028,1892.63479058392,0.854811624361797,4.62603140803833,2.43230817625281,0.695308152055557,-0.951073148304982,1.64638130036054,-4.2693906311267,-4.11251647442292,-4.28786748022327,0.0137341825063009,1.19166442433641,0.175351005800349,0.018476849096567,NA,0.0271968892990392,-0.00872004020247222,0.0193891736246956,-0.000255006891097587
2009-12-01,248968,180412,72.4639311076122,210485,180412,584.5,618.4,1440.1,1384.3,4116.3,46365.8,99.2,17626541,5.4912535,210.485,180.412,2058.5,584.5,-799.8,180412,841.94,290468.646653216,0.01412460902,0.0164790497836879,5680.48122297852,2840.72361040286,1910.32970312396,0.857125210822624,4.88906572914935,2.44494857115709,0.694229992636055,-0.949948927477017,1.64417892011307,-4.25983668233273,-4.10566541491994,-4.28240141826417,0.0138094599469882,1.19331602010127,0.176736003344229,0.022564735931442,NA,0.0275492632999264,-0.00498452736848433,0.00644382283987368,0.00955394879397442
2010-03-01,250171,182570,72.978082991234,214342,182570,595.2,620.6,1464,1405.3,4309.4,43385.8,102.3,17713963,5.4225845,214.342,182.57,2084.6,595.2,-810.1,182570,857.368,293707.358722682,0.014122813737389,0.0165805561817354,5905.06056526264,2856.4740461193,1925.64663581092,0.851769601851247,5.02631308842877,2.43139468699555,0.694217652163365,-0.944868481212268,1.63908613337563,-4.25996379358312,-4.09952458449773,-4.27691511325118,0.0138854310661301,1.19409733142382,0.177390528753447,0.0169513196680606,NA,0.0263462318141254,-0.00939491214606477,0.00297324516891872,-0.000127111250387557
2010-06-01,253795,186115,73.3328079749404,216245,186115,602.4,597.4,1422.5,1436.3,4279.6,41748.5,104.3,17772774,5.1441805,216.245,186.115,2019.9,602.4,-833.9,186115,864.98,294881.657980281,0.0142799880311312,0.0165917632205463,5835.85998979126,2754.42882357682,1958.60494049378,0.860667298665865,4.94762884690976,2.33519850169946,0.696432287451733,-0.964068533376494,1.66050082082823,-4.24889616022713,-4.09884889829675,-4.27157312680255,0.0139598053269987,1.18853829490425,0.172724228505793,0.0226769665754176,NA,0.0310294889626874,-0.00835252238726982,0.0160741177730878,0.0110676333559896
2010-09-01,256335,188069,73.3684436382078,221023,188069,629.6,609,1465.2,1456.4,4297.1,40724,103,17835966,5.0544962,221.023,188.069,2074.2,629.6,-826.8,188069,884.092,301250.768095752,0.014371803579352,0.0168900730185151,5856.87768053215,2827.10099484764,1985.04960413465,0.850902394773395,4.86046701022066,2.3461359225058,0.712143080131932,-0.935196789474399,1.64733986960633,-4.24248707672156,-4.08102922499149,-4.26585680974821,0.0140398325127321,1.20301100481065,0.184827584756729,0.0233697330266533,NA,0.0161547670440483,0.00721496598260508,0.000386502267502658,0.00640908350556746
2010-12-01,259199,190416,73.4632463859814,227103,190416,643.3,614.2,1513.9,1482.2,4320.7,40545.2,103.6,17898977,4.8769832,227.103,190.416,2128.1,643.3,-838.9,190416,908.412,309138.257798714,0.0144812186752349,0.0172712807999426,5881.44441275943,2896.82270344929,2017.60754243341,0.838456559358529,4.7563220212855,2.34265949811319,0.708158853031444,-0.92347965460606,1.6316385076375,-4.2349027329117,-4.05871022628789,-4.2596424122444,0.0141273532755967,1.22254186350509,0.200932185956511,0.0247396793327033,NA,0.0138929166101886,0.0108467627225146,0.00148180139779906,0.00758434380986017
2011-03-01,260732,193646,74.2701317828268,232098,193646,651.6,616.1,1542.9,1507.6,4306.3,38589.2,102.7,17980904,4.9264364,232.098,193.646,2159,651.6,-856,193646,928.392,312505.167863008,0.0145004945246357,0.0173798362898221,5798.15855530194,2906.95592989269,2029.88733668653,0.834328602573051,4.63845013744194,2.32552628631009,0.701858697619109,-0.922024317314238,1.62388301493335,-4.23357252498989,-4.05244457864713,-4.25342647723649,0.0142154414770312,1.22260264079057,0.200981898589355,0.0198539522465984,NA,0.0161718618509003,0.00368209039569811,-0.00165637397228989,0.00133020792181338
2011-06-01,262484,196321,74.7935112235412,233854,196321,652.1,607.2,1541.5,1535,4315.6,38672.3,102,18045907,4.9167436,233.854,196.321,2148.7,652.1,-882.9,196321,935.416,312666.16070619,0.0145453481501373,0.0173261538312367,5770.01925621813,2872.84279725552,2052.31707254955,0.839502424589701,4.61356230810677,2.29705286204213,0.697122991268056,-0.943858133707356,1.64098112497541,-4.23048405125149,-4.05553813691822,-4.24748982702694,0.0143000845803077,1.21161198270786,0.191951690108717,0.0170057757754449,NA,0.024444751183457,-0.00743897540801207,0.00657484179717278,0.00308847373839427
2011-09-01,264235,198599,75.159990160274,237259,198599,675.8,591.9,1470.4,1554.5,4185.1,39040.6,100.2,18112784,5.2219241,237.259,198.599,2062.3,675.8,-878.7,198599,949.036,315671.941273622,0.0145883150817677,0.017428129285571,5568.25511961289,2743.88008247776,2068.25466140313,0.837055707054316,4.40984325146781,2.17304717629258,0.712091006031383,-0.925886899970075,1.63797790600146,-4.22753440757361,-4.04966975248667,-4.24155522479073,0.0143852022140692,1.21153175507854,0.19188547230406,0.0140208172171201,NA,0.0129831087958275,0.00103770842129261,-0.00634186141514868,0.00294964367788353
