regime,equation,term,estimate,std_error,t_stat,p_value
b_joint_cci_cons_wt,house_price,d2020_rebound,0.01824490424196153,0.019644876926296073,0.9287359910888228,0.3543199336933851
b_joint_cci_cons_wt,house_price,d_neg_gearing_8587,-0.01324527819259828,0.007423979141325661,-1.7841211485722386,0.07615672390275918
b_joint_cci_cons_wt,house_price,d_recession_1991,-7.941365888037823e-4,0.01908669173875441,-0.04160682216035031,0.9668601143233837
b_joint_cci_cons_wt,house_price,d_apra_2014,-0.012596337316064469,0.01091827259441954,-1.153693242876406,0.2502173215516219
b_joint_cci_cons_wt,house_price,d_apra_2017,0.023423218435668185,0.011179832570251541,2.0951314152946363,0.03761544723837451
b_joint_cci_cons_wt,mortgage,(Intercept),-0.06649284354361891,0.22221806430059543,-0.2992233946096917,0.7651308483842003
b_joint_cci_cons_wt,mortgage,lincome,-0.00930874678349971,0.027812558477986003,-0.3346958098395623,0.7382623585668635
b_joint_cci_cons_wt,mortgage,ln_hp_over_yd,-0.002788719594311255,0.004135765180751772,-0.6742935037245853,0.5010299811334757
b_joint_cci_cons_wt,mortgage,real_rate,8.949306221453615e-5,5.436304292721622e-4,0.16462114222405402,0.869435493347166
b_joint_cci_cons_wt,mortgage,prime_age_share,0.34159569322739985,0.13732239263434187,2.487545451796715,0.01381540317940555
b_joint_cci_cons_wt,mortgage,cci_williams_joint,-0.008575154133336536,0.006005178688652933,-1.427959862300133,0.1551166048752879
b_joint_cci_cons_wt,mortgage,ecm_lag_M,0.0014978820724664422,0.008066237196441013,0.1856977467916934,0.8529006058296194
b_joint_cci_cons_wt,mortgage,dlog_hp_real,0.2703385088763631,0.039080144520648036,6.917541175763295,8.675016260895063e-11
b_joint_cci_cons_wt,mortgage,d_real_rate,0.0029319452525900383,0.0012119975261603608,2.4191016807423,0.016601276256174025
b_joint_cci_cons_wt,mortgage,d2008_gfc,-0.0014066840400478416,0.01010868512690601,-0.13915598541136764,0.8894896890940012
