"date","cci_step_1983","cci_step_1992","cci_step_1998","cci_step_2007","cci_regime_component","cci_indicator_component","cci_institutional_raw","credit_conditions_index","credit_conditions_spline"
2005-09-01,1,1,0.871982032565974,0,1.85076907601835,-0.891646780774183,1.27967352855989,-1.27967352855989,-0.369766626058166
2005-12-01,1,1,0.897529477821449,0,1.91998710812003,-0.627524921686762,1.47707669731932,-1.47707669731932,-0.350191425015014
2006-03-01,1,1,0.922796181920269,0,1.98844450250629,-0.251376500545931,1.73008779253229,-1.73008779253229,-0.333570684672081
2006-06-01,1,1,0.948624368332397,0,2.05842317232337,0.244885005799943,2.04490252651791,-2.04490252651791,-0.319314404782795
2006-09-01,1,1,0.974452554744526,0,2.12840184214044,0.0920999106675376,2.03342807223966,-2.03342807223966,-0.306845759881879
2006-12-01,1,1,1,0,2.19761987424211,-0.0881299849745708,2.0074463977165,-2.0074463977165,-0.295741081336611
2007-03-01,1,1,1,0,2.19761987424211,-0.146312817032973,1.97819668128629,-1.97819668128629,-0.285675511373985
2007-06-01,1,1,1,0.0914512922465209,1.9188703467824,0.0979320942381047,1.84073635028628,-1.84073635028628,-0.276325839068658
2007-09-01,1,1,1,0.182902584493042,1.64012081932269,0.148827795478479,1.60607536119995,-1.60607536119995,-0.267368853495285
2007-12-01,1,1,1,0.273359840954274,1.36440117803102,0.457550309807693,1.50385803371894,-1.50385803371894,-0.258540423557618
2008-03-01,1,1,1,0.363817097415507,1.08868153673935,0.360696792614404,1.19774922324832,-1.19774922324832,-0.249812737475781
2008-06-01,1,1,1,0.455268389662028,0.809932009279642,-0.495456626945515,0.507095828274173,-0.507095828274173,-0.241349427752762
2008-09-01,1,1,1,0.546719681908549,0.531182481819932,-0.485757048446836,0.251724693847907,-0.251724693847907,-0.233843584706633
2008-12-01,1,1,1,0.637176938369781,0.255462840528262,-0.444367230086157,0.0151136754280622,-0.0151136754280621,-0.228120663109233
2009-03-01,1,1,1,0.726640159045726,-0.0172269145953672,0.345700205742626,0.157707198579314,-0.157707198579314,-0.225006117732402
2009-06-01,1,1,1,0.818091451292246,-0.295976442055077,0.994130926484438,0.223439457109259,-0.223439457109259,-0.225325403347982
2009-09-01,1,1,1,0.909542743538767,-0.574725969514787,1.12839187018251,0.0306879044624554,-0.0306879044624554,-0.229903974727813
2009-12-01,1,1,1,1,-0.850445610806457,1.20370018934211,-0.188871580111285,0.188871580111285,-0.239567286643732
2010-03-01,1,1,1,1,-0.850445610806457,0.884654988922449,-0.349262219592818,0.349262219592818,-0.255140793867582
2010-06-01,1,1,1,1,-0.850445610806457,0.263824234013091,-0.661366716569228,0.661366716569228,-0.277439247786592
2010-09-01,1,1,1,1,-0.850445610806457,-0.455656460761495,-1.02306458438772,1.02306458438772,-0.306635196711289
2010-12-01,1,1,1,1,-0.850445610806457,-1.24285468722491,-1.41880545989727,1.41880545989727,-0.34190577418332
2011-03-01,1,1,1,1,-0.850445610806457,-1.41947121769742,-1.50759425292169,1.50759425292169,-0.38234248666743
2011-06-01,1,1,1,1,-0.850445610806457,-1.50441042549649,-1.55029495438352,1.55029495438352,-0.427036840628377
2011-09-01,1,1,1,1,-0.850445610806457,-1.06803626314496,-1.33092061225043,1.33092061225043,-0.475080342530907
2011-12-01,1,1,1,1,-0.850445610806457,-0.723195217504364,-1.15756186635166,1.15756186635166,-0.525564498839772
2012-03-01,1,1,1,1,-0.850445610806457,-0.956043910929272,-1.27461973398839,1.27461973398839,-0.577580816019725
2012-06-01,1,1,1,1,-0.850445610806457,-0.841515233321944,-1.21704379234673,1.21704379234673,-0.630220800535513
2012-09-01,1,1,1,1,-0.850445610806457,-0.666885851893262,-1.12925398036157,1.12925398036157,-0.68257595885189
2012-12-01,1,1,1,1,-0.850445610806457,-0.523414998580245,-1.05712820671079,1.05712820671079,-0.733737797433606
2013-03-01,1,1,1,1,-0.850445610806457,-0.415053535762346,-1.00265265185632,1.00265265185632,-0.782797822745411
2013-06-01,1,1,1,1,-0.850445610806457,-0.405920094712212,-0.998061081606173,0.998061081606173,-0.828847541252056
2013-09-01,1,1,1,1,-0.850445610806457,-0.205224261545088,-0.897167123694839,0.897167123694839,-0.870978459418293
2013-12-01,1,1,1,1,-0.850445610806457,-0.136709094716817,-0.862723128275646,0.862723128275646,-0.908172353399838
2014-03-01,1,1,1,1,-0.850445610806457,-0.0338565293975381,-0.811017010452289,0.811017010452289,-0.938977587505956
