"date","term","contribution"
2024-07-01,"hp_x_1_minus_cci",-0.0943332066251193
2024-10-01,"hp_x_1_minus_cci",-0.0981019355099666
1988-07-01,"r_x_cci",0.00250310547358643
1988-10-01,"r_x_cci",0.00250310547358643
1989-01-01,"r_x_cci",0.00250310547358643
1989-04-01,"r_x_cci",0.00250310547358643
1989-07-01,"r_x_cci",0.00250310547358643
1989-10-01,"r_x_cci",0.00250310547358643
1990-01-01,"r_x_cci",0.00250310547358643
1990-04-01,"r_x_cci",0.00250310547358643
1990-07-01,"r_x_cci",0.00250310547358643
1990-10-01,"r_x_cci",0.00250310547358643
1991-01-01,"r_x_cci",0.00250310547358643
1991-04-01,"r_x_cci",0.00250310547358643
1991-07-01,"r_x_cci",0.00250310547358643
1991-10-01,"r_x_cci",0.00250310547358643
1992-01-01,"r_x_cci",0.00250310547358643
1992-04-01,"r_x_cci",0.00250310547358643
1992-07-01,"r_x_cci",0.00250310547358643
1992-10-01,"r_x_cci",0.00250310547358643
1993-01-01,"r_x_cci",0.00250310547358643
1993-04-01,"r_x_cci",0.00250310547358643
1993-07-01,"r_x_cci",0.00250310547358643
1993-10-01,"r_x_cci",0.00250310547358643
1994-01-01,"r_x_cci",0.00250310547358643
1994-04-01,"r_x_cci",0.00250310547358643
1994-07-01,"r_x_cci",0.00250310547358643
1994-10-01,"r_x_cci",0.00250310547358643
1995-01-01,"r_x_cci",0.00250310547358643
1995-04-01,"r_x_cci",0.00250310547358643
1995-07-01,"r_x_cci",0.00250310547358643
1995-10-01,"r_x_cci",0.00250310547358643
1996-01-01,"r_x_cci",0.00250310547358643
1996-04-01,"r_x_cci",0.00250310547358643
1996-07-01,"r_x_cci",0.00250310547358643
1996-10-01,"r_x_cci",0.00250310547358643
1997-01-01,"r_x_cci",0.00250310547358643
1997-04-01,"r_x_cci",0.00250310547358643
1997-07-01,"r_x_cci",0.00250310547358643
1997-10-01,"r_x_cci",0.00250310547358643
1998-01-01,"r_x_cci",0.00250310547358643
1998-04-01,"r_x_cci",0.00250310547358643
1998-07-01,"r_x_cci",0.00250310547358643
1998-10-01,"r_x_cci",0.00250310547358643
1999-01-01,"r_x_cci",0.00250310547358643
1999-04-01,"r_x_cci",0.00250310547358643
1999-07-01,"r_x_cci",0.00250310547358643
1999-10-01,"r_x_cci",0.00250310547358643
2000-01-01,"r_x_cci",0.00250310547358643
2000-04-01,"r_x_cci",0.00250310547358643
2000-07-01,"r_x_cci",0.00250310547358643
2000-10-01,"r_x_cci",0.00250310547358643
2001-01-01,"r_x_cci",0.00250310547358643
2001-04-01,"r_x_cci",0.00250310547358643
2001-07-01,"r_x_cci",0.00250310547358643
2001-10-01,"r_x_cci",0.00250310547358643
2002-01-01,"r_x_cci",0.00250310547358643
2002-04-01,"r_x_cci",0.00250310547358643
2002-07-01,"r_x_cci",0.00250310547358643
2002-10-01,"r_x_cci",0.00250310547358643
2003-01-01,"r_x_cci",0.00250310547358643
2003-04-01,"r_x_cci",0.00250310547358643
2003-07-01,"r_x_cci",0.00250310547358643
2003-10-01,"r_x_cci",0.00250310547358643
2004-01-01,"r_x_cci",0.00250310547358643
2004-04-01,"r_x_cci",0.00250310547358643
2004-07-01,"r_x_cci",0.00250310547358643
2004-10-01,"r_x_cci",0.00250310547358643
2005-01-01,"r_x_cci",0.00250310547358643
2005-04-01,"r_x_cci",0.00250310547358643
2005-07-01,"r_x_cci",0.00250310547358643
2005-10-01,"r_x_cci",0.00250310547358643
2006-01-01,"r_x_cci",0.00250310547358643
2006-04-01,"r_x_cci",0.00250310547358643
2006-07-01,"r_x_cci",0.00250310547358643
2006-10-01,"r_x_cci",0.00250310547358643
2007-01-01,"r_x_cci",0.00250310547358643
2007-04-01,"r_x_cci",0.00250310547358643
2007-07-01,"r_x_cci",0.00250310547358643
2007-10-01,"r_x_cci",0.00251185743035725
2008-01-01,"r_x_cci",0.00259947648437313
2008-04-01,"r_x_cci",0.00309010530952186
2008-07-01,"r_x_cci",0.00322689273093829
2008-10-01,"r_x_cci",0.00191843687871092
