"draw","success","fail_reason","n_surviving_knots","surviving_knots","cci_min","cci_max","n_obs","lambda","ols_nla_y","ols_ilfa_y","ols_ln_yp_over_y","ols_yp_x_cci","ols_ha_x_cci","ols_hp_x_1_minus_cci","gamma_nla_y","gamma_ilfa_y","gamma_ln_yp_over_y","gamma_yp_x_cci","gamma_ha_x_cci","gamma_hp_x_1_minus_cci"
109,TRUE,NA,5,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-0.0433843208377381,0,146,-0.173421948667466,0.010768107093072,0.00279048186213065,0.126245973788449,-9.54530743163817,0.101722544775145,0.0415549892995248,0.0620919507352536,0.0160907075694401,0.727969987412169,-55.0409420778748,0.58656096045949,0.23961782011345
110,TRUE,NA,4,"sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-0.0430265086407798,0,146,-0.177941588201043,-0.013713081759501,-0.00764712562208743,0.137685035092123,-3.0959566753881,-0.495362414875544,0.0147471732483323,-0.0770650745457413,-0.0429754825692997,0.773765348978241,-17.3987245291427,-2.78384845208794,0.0828764843419882
111,TRUE,NA,6,"sdmma_1992_01;sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-0.0315638080243405,0,146,-0.153829234204796,0.00570460968771176,0.00292240428207633,0.116377186456561,-3.36822625657013,-0.138428089728387,0.000953421799670677,0.0370840413865487,0.0189977171581422,0.75653491391386,-21.895878725405,-0.899881550109616,0.0061979233310189
112,TRUE,NA,6,"sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.0434686152536812,0,146,-0.178428024169756,0.0232430268155283,0.00448156662555317,0.139159450733274,-9.85503885498512,-0.201669913251203,0.0246842337816721,0.130265561834698,0.0251169436326292,0.779919249685115,-55.2325729147179,-1.13025918540315,0.138342807395477
113,TRUE,NA,5,"sdmma_1993_01;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-15.8050196030556,1,146,-0.147828164093565,-0.00923636813202931,0.00180089998068085,0.0634608239025112,-0.0378001254318647,-0.00139629958980453,-0.00260512648204125,-0.0624804359078919,0.0121823875154196,0.429287776734783,-0.255703137921268,-0.0094454233289454,-0.0176226668173487
114,TRUE,NA,5,"sdmma_1990_09;sdmma_2007_09;sdmma_2008_12;sdmma_2019_01;sdmma_2020_04",-0.0494619774953128,0,146,-0.0962456496347401,0.00394726212824436,0.00757542166835237,0.0161663630136964,-3.14410143323801,-0.353968342669064,-0.00796701824462038,0.0410123693198034,0.0787092372185308,0.167969805129365,-32.6674654404654,-3.67775940016408,-0.0827779569762981
115,TRUE,NA,7,"sdmma_1990_09;sdmma_1993_01;sdmma_2007_09;sdmma_2008_12;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.054585426413441,0,146,-0.172206625639262,0.0261948407839163,0.00916856228924856,0.0310653626397165,-9.6131091313205,-0.216933407088318,0.00662350984783805,0.152112850981641,0.0532416348976888,0.18039586179914,-55.8231084061656,-1.2597274134083,0.0384625726405729
116,TRUE,NA,6,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04",-0.0517132192777126,0,146,-0.199141148631575,0.0191256601462018,0.00124634336674839,0.0750281666439076,-4.44320144090381,0.366233181012414,0.0365576400729916,0.0960407242683211,0.00625859283886232,0.376758731982183,-22.3118198897408,1.83906331528684,0.183576525113982
117,TRUE,NA,6,"sdmma_1990_09;sdmma_1993_01;sdmma_2007_09;sdmma_2008_12;sdmma_2019_01;sdmma_2020_04",-0.049920412138566,0,146,-0.195516723071849,0.0103268139208933,0.00124448503564745,0.0722849454466349,-8.91130345815092,-0.29646335007017,0.0225422994894762,0.0528180595431643,0.00636510788486426,0.369712341281782,-45.5782161144149,-1.51630686834509,0.115296017319154
118,TRUE,NA,6,"sdmma_1993_01;sdmma_2008_12;sdmma_2014_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04",-0.0842934832637938,0,146,-0.135501936339741,0.0201868392491292,0.00908020216815754,0.0761747701642767,-5.09897091878708,-0.176363328537921,-0.000421787303030995,0.148978234514045,0.0670116045086687,0.562167392008962,-37.6302439398544,-1.30155578069179,-0.00311277694197267
119,TRUE,NA,6,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0807876668364488,0,146,-0.180175725526639,0.00685585689605934,0.00414056748285099,0.164244592736783,-2.67607743140339,-0.0781184367592371,0.0275853161772132,0.0380509465191286,0.0229807176896246,0.911580026980381,-14.8525969499023,-0.433568043258342,0.153102289981536
120,TRUE,NA,4,"sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-73.7727027027992,1,146,-0.183391205227271,-0.0178044687856157,-0.00517792601226077,0.167168952625156,-0.00463821236821724,-0.00020953858093684,0.000323545068133836,-0.0970846380749352,-0.0282343202109607,0.911542908603435,-0.0252913565973311,-0.0011425770427604,0.0017642343739051
121,TRUE,NA,3,"sdmma_2008_12;sdmma_2019_01;sdmma_2020_04",-0.0434932212611951,0,146,-0.146748785946183,0.0152403486959875,0.00628812783384103,0.0846129664358354,1.16446005178899,-0.138870264074943,0.0230805129772398,0.103853320473646,0.0428496071929825,0.576583757680048,7.93505748126615,-0.946312865074536,0.157279072725712
122,TRUE,NA,6,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04",-0.0634968205186096,0,146,-0.205398218505724,0.0275284968940791,0.00859275620981678,0.111438031487606,-3.35185913081322,0.0554685145304421,0.0293967797105435,0.134025003207669,0.0418346189773663,0.542546241629161,-16.3188325351509,0.270053532761758,0.143120908858927
123,TRUE,NA,5,"sdmma_1993_01;sdmma_2007_09;sdmma_2009_01;sdmma_2019_01;sdmma_2020_04",-0.0389654725254109,0,146,-0.0776247005911927,-0.00115576360968904,0.00130773617751019,0.060188129129832,1.61747907125584,-0.163584324795855,0.0028403089806597,-0.0148891216440991,0.0168469078469923,0.775373414279693,20.8371698562063,-2.10737463139942,0.0365902729289491
124,TRUE,NA,7,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.0586277344092433,0,146,-0.168072601702029,0.0208943801095166,0.00456274368031419,0.100987573849776,-6.89835953715643,0.1614161683507,0.0647178349352625,0.124317585959427,0.0271474567187539,0.600856848927784,-41.0439266560908,0.960395488116918,0.385058803635342
125,TRUE,NA,7,"sdmma_1992_01;sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.0782278886731255,0,146,-0.0727783439423627,0.018437223146366,0.0128938218761851,0.0258552013887376,2.10760740791268,-0.0354360167874124,0.013032196624297,0.253333919784813,0.177165639910637,0.355259545466077,28.9592658165156,-0.48690331309924,0.179066957536407
126,TRUE,NA,6,"sdmma_1993_01;sdmma_2007_09;sdmma_2008_12;sdmma_2017_03;sdmma_2019_01;sdmma_2020_04",-0.0523624415069834,0,146,-0.207594461131161,0.0237745350123214,0.00978019517572199,0.0856425994403413,-8.86732167539878,0.149179472659482,0.0314395618368109,0.114523937116513,0.0471120237140756,0.412547613138056,-42.714635193452,0.718610081630399,0.151447016772509
127,TRUE,NA,7,"sdmma_1992_01;sdmma_1993_01;sdmma_2007_09;sdmma_2008_12;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.0458581698715619,0,146,-0.136078431423146,-0.00440091981722704,-0.00206825667635046,0.139770990166794,-0.938196279423305,-0.241135531315797,-0.00185662891887909,-0.0323410533998739,-0.0151990043882785,1.02713551813487,-6.89452597014375,-1.7720334427281,-0.0136438148166609
128,TRUE,NA,6,"sdmma_2007_09;sdmma_2009_01;sdmma_2014_12;sdmma_2019_01;sdmma_2020_04;sdmma_2021_12",-0.0751594744242241,0,146,-0.158809499064238,-0.019255444703845,-0.0135805734844694,0.153359772788662,-1.23141381580467,-0.0452195792975522,0.028027553492615,-0.121248696188231,-0.0855148688490989,0.965683877175559,-7.75403123277001,-0.284741023452639,0.176485371830799
